"","x"
"1","CHMP1B"
"2","TCOF1"
"3","SPPL3"
"4","OPA3"
"5","OPA1"
"6","ITGA9"
"7","ITGA1"
"8","ITGA2"
"9","ITGA3"
"10","ITGA4"
"11","ITGA5"
"12","ITGA6"
"13","ITGA7"
"14","UFSP2"
"15","FAM212B"
"16","FAM212A"
"17","CHST9"
"18","CHST8"
"19","CHST1"
"20","CHST3"
"21","CHST2"
"22","CHST7"
"23","CHST6"
"24","ITGAX"
"25","ITGAV"
"26","ITGAM"
"27","ITGAE"
"28","IGF2R"
"29","SLC36A4"
"30","CKS1B"
"31","SLC36A1"
"32","ARTN"
"33","ART3"
"34","ART5"
"35","RFPL1"
"36","CADPS2"
"37","CRTAP"
"38","ADPGK"
"39","CPEB4"
"40","CPEB1"
"41","CPEB2"
"42","SRBD1"
"43","ABAT"
"44","POU5F1B"
"45","UPK2"
"46","CFH"
"47","ANKFY1"
"48","CFP"
"49","AAAS"
"50","SIDT1"
"51","SIDT2"
"52","UFD1"
"53","AAGAB"
"54","C4orf19"
"55","CDH26"
"56","ETV3L"
"57","ST20-AS1"
"58","ZNF112"
"59","PRKAR2A"
"60","PRKAR2B"
"61","MAGT1"
"62","TMBIM6"
"63","S1PR4"
"64","ITGA2B"
"65","PHACTR4"
"66","PHACTR1"
"67","NLGN1"
"68","VMP1"
"69","NR1D1"
"70","PLPBP"
"71","UFSP1"
"72","PTCH2"
"73","TIMM44"
"74","RAD9B"
"75","RAD9A"
"76","ERGIC2"
"77","ERGIC3"
"78","ERGIC1"
"79","B3GAT3"
"80","B3GAT2"
"81","B3GAT1"
"82","CALM2"
"83","TTC30A"
"84","TTC30B"
"85","SPG20"
"86","GSDMA"
"87","GSDMB"
"88","GSDMD"
"89","DLGAP2"
"90","DLGAP3"
"91","DLGAP4"
"92","CYP27B1"
"93","OIP5"
"94","FBXL19"
"95","PTPN18"
"96","LRRFIP2"
"97","PTPN13"
"98","PTPN12"
"99","PTPN11"
"100","PTPN14"
"101","LYAR"
"102","C2orf81"
"103","C2orf88"
"104","MSMP"
"105","TRAPPC6B"
"106","MSMB"
"107","HAPLN4"
"108","CAMKK1"
"109","MYDGF"
"110","CHMP3"
"111","RPL36AL"
"112","CHMP6"
"113","CHMP5"
"114","HOXA10"
"115","GALNTL6"
"116","TDG"
"117","ENTPD6"
"118","TBX2"
"119","LRRC27"
"120","LRRC26"
"121","KIAA1524"
"122","LRRC24"
"123","KIAA1522"
"124","MPDU1"
